years,popChange,gdpChange,afterGdp,afterPopulation,beforePercent,flagChina,flagEU30,flagNafta,flagRow,flagRecycling,flagIncineration,flagLandfill,flagMismanaged,afterPercent,beforeYear,afterYear
1,0.00621056418582336,0.120252158763692,8019.967777672,1308.927,0.0333,1,0,0,0,0,1,0,0,0.0501,2005,2006
1,0.00621056418582336,0.120252158763692,8019.967777672,1308.927,0.2891,1,0,0,0,0,0,1,0,0.2825,2005,2006
1,0.00621056418582336,0.120252158763692,8019.967777672,1308.927,0.3197,1,0,0,0,0,0,0,1,0.3088,2005,2006
1,0.00621056418582336,0.120252158763692,8019.967777672,1308.927,0.3579,1,0,0,0,1,0,0,0,0.3586,2005,2006
1,0.00635558743917742,0.135094417477996,9161.27823874331,1317.246,0.0501,1,0,0,0,0,1,0,0,0.0598,2006,2007
1,0.00635558743917742,0.135094417477996,9161.27823874331,1317.246,0.2825,1,0,0,0,0,0,1,0,0.3194,2006,2007
1,0.00635558743917742,0.135094417477996,9161.27823874331,1317.246,0.3088,1,0,0,0,0,0,0,1,0.2445,2006,2007
1,0.00635558743917742,0.135094417477996,9161.27823874331,1317.246,0.3586,1,0,0,0,1,0,0,0,0.3763,2006,2007
1,0.00647942753289807,0.0894477911861378,10045.4037865323,1325.781,0.0598,1,0,0,0,0,1,0,0,0.065,2007,2008
1,0.00647942753289807,0.0894477911861378,10045.4037865323,1325.781,0.3194,1,0,0,0,0,0,1,0,0.3489,2007,2008
1,0.00647942753289807,0.0894477911861378,10045.4037865323,1325.781,0.2445,1,0,0,0,0,0,0,1,0.2183,2007,2008
1,0.00647942753289807,0.0894477911861378,10045.4037865323,1325.781,0.3763,1,0,0,0,1,0,0,0,0.3678,2007,2008
1,0.00661723165439853,0.0867956775407141,10989.5437268541,1334.554,0.065,1,0,0,0,0,1,0,0,0.0818,2008,2009
1,0.00661723165439853,0.0867956775407141,10989.5437268541,1334.554,0.3489,1,0,0,0,0,0,1,0,0.3601,2008,2009
1,0.00661723165439853,0.0867956775407141,10989.5437268541,1334.554,0.2183,1,0,0,0,0,0,0,1,0.1876,2008,2009
1,0.00661723165439853,0.0867956775407141,10989.5437268541,1334.554,0.3678,1,0,0,0,1,0,0,0,0.3705,2008,2009
1,0.00685172724370839,0.0988298283290366,12158.3774277246,1343.698,0.0818,1,0,0,0,0,1,0,0,0.0962,2009,2010
1,0.00685172724370839,0.0988298283290366,12158.3774277246,1343.698,0.3601,1,0,0,0,0,0,1,0,0.3985,2009,2010
1,0.00685172724370839,0.0988298283290366,12158.3774277246,1343.698,0.1876,1,0,0,0,0,0,0,1,0.154,2009,2010
1,0.00685172724370839,0.0988298283290366,12158.3774277246,1343.698,0.3705,1,0,0,0,1,0,0,0,0.3513,2009,2010
1,0.00668825882006214,0.088229958183914,13319.6036516575,1352.685,0.0962,1,0,0,0,0,1,0,0,0.0989,2010,2011
1,0.00668825882006214,0.088229958183914,13319.6036516575,1352.685,0.3985,1,0,0,0,0,0,1,0,0.3831,2010,2011
1,0.00668825882006214,0.088229958183914,13319.6036516575,1352.685,0.154,1,0,0,0,0,0,0,1,0.142,2010,2011
1,0.00668825882006214,0.088229958183914,13319.6036516575,1352.685,0.3513,1,0,0,0,1,0,0,0,0.376,2010,2011
1,0.00652110432214458,0.0716490293826767,14367.0221790085,1361.506,0.0989,1,0,0,0,0,1,0,0,0.125,2011,2012
1,0.00652110432214458,0.0716490293826767,14367.0221790085,1361.506,0.3831,1,0,0,0,0,0,1,0,0.3666,2011,2012
1,0.00652110432214458,0.0716490293826767,14367.0221790085,1361.506,0.142,1,0,0,0,0,0,0,1,0.1041,2011,2012
1,0.00652110432214458,0.0716490293826767,14367.0221790085,1361.506,0.376,1,0,0,0,1,0,0,0,0.4044,2011,2012
1,0.00742560076856062,0.0697182007066896,15482.7866863306,1371.616,0.125,1,0,0,0,0,1,0,0,0.183,2012,2013
1,0.00742560076856062,0.0697182007066896,15482.7866863306,1371.616,0.3666,1,0,0,0,0,0,1,0,0.4145,2012,2013
1,0.00742560076856062,0.0697182007066896,15482.7866863306,1371.616,0.1041,1,0,0,0,0,0,0,1,0.0834,2012,2013
1,0.00742560076856062,0.0697182007066896,15482.7866863306,1371.616,0.4044,1,0,0,0,1,0,0,0,0.319,2012,2013
1,0.00653900216970351,0.0672786988723915,16632.5018336394,1380.585,0.183,1,0,0,0,0,1,0,0,0.1749,2013,2014
1,0.00653900216970351,0.0672786988723915,16632.5018336394,1380.585,0.4145,1,0,0,0,0,0,1,0,0.3525,2013,2014
1,0.00653900216970351,0.0672786988723915,16632.5018336394,1380.585,0.0834,1,0,0,0,0,0,0,1,0.0586,2013,2014
1,0.00653900216970351,0.0672786988723915,16632.5018336394,1380.585,0.319,1,0,0,0,1,0,0,0,0.414,2013,2014
1,0.00667108508349724,0.0629092420105149,17796.7769619942,1389.795,0.1749,1,0,0,0,0,1,0,0,0.2144,2014,2015
1,0.00667108508349724,0.0629092420105149,17796.7769619942,1389.795,0.3525,1,0,0,0,0,0,1,0,0.3988,2014,2015
1,0.00667108508349724,0.0629092420105149,17796.7769619942,1389.795,0.0586,1,0,0,0,0,0,0,1,0.0515,2014,2015
1,0.00667108508349724,0.0629092420105149,17796.7769619942,1389.795,0.414,1,0,0,0,1,0,0,0,0.3353,2014,2015
1,0.00564183926406405,0.0620083197627991,19006.9577954098,1397.636,0.2144,1,0,0,0,0,1,0,0,0.2473,2015,2016
1,0.00564183926406405,0.0620083197627991,19006.9577954098,1397.636,0.3988,1,0,0,0,0,0,1,0,0.3977,2015,2016
1,0.00564183926406405,0.0620083197627991,19006.9577954098,1397.636,0.0515,1,0,0,0,0,0,0,1,0.0374,2015,2016
